STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       1420;2022051508:22;    1;  119.0;   79.0;  203.0;  60;    51.82;2022051509:00;eor
       1420;2022051509:22;    1;  122.0;   90.0;  244.0;  60;    43.08;2022051510:00;eor
       1420;2022051510:22;    1;  124.0;   63.0;  294.0;  60;    35.92;2022051511:00;eor
       1420;2022051511:22;    1;  126.0;   45.0;  320.0;  60;    31.68;2022051512:00;eor
       1420;2022051512:22;    1;  129.0;   75.0;  323.0;  60;    31.67;2022051513:00;eor
       1420;2022051513:22;    1;  131.0;  118.0;  288.0;  60;    35.89;2022051514:00;eor
       1420;2022051514:22;    1;  133.0;  118.0;  254.0;  60;    43.04;2022051515:00;eor
       1420;2022051515:22;    1;  131.0;  100.0;  161.0;  57;    51.77;2022051516:00;eor
       1420;2022051516:22;    1;  129.0;   65.0;  169.0;  60;    61.21;2022051517:00;eor
       1420;2022051517:22;    1;  128.0;   32.0;  104.0;  60;    70.82;2022051518:00;eor
       1420;2022051518:22;    1;  127.0;   22.0;   51.0;  60;    80.21;2022051519:00;eor
       1420;2022051519:22;    1;  125.0;    5.0;    6.0;  32;    89.03;2022051520:00;eor
       1420;2022051520:22;    1;  123.0;    0.0;    0.0;   0;    96.90;2022051521:00;eor
       1420;2022051521:22;    1;  123.0;    0.0;    0.0;   0;   103.42;2022051522:00;eor
       1420;2022051522:22;    1;  121.0;    0.0;    0.0;   0;   108.14;2022051523:00;eor
       1420;2022051523:22;    1;  120.0;    0.0;    0.0;   0;   110.62;2022051600:00;eor
       1420;2022051700:22;    1;  116.0;    0.0;    0.0;   0;   110.38;2022051701:00;eor
       1420;2022051701:22;    1;  115.0;    0.0;    0.0;   0;   107.89;2022051702:00;eor
       1420;2022051702:22;    1;  115.0;    0.0;    0.0;   0;   103.17;2022051703:00;eor
       1420;2022051703:22;    1;  114.0;    0.0;    0.0;   0;    96.65;2022051704:00;eor
       1420;2022051704:22;    1;  114.0;    5.0;    7.0;   7;    88.77;2022051705:00;eor
       1420;2022051705:22;    1;  114.0;   20.0;   45.0;  54;    79.95;2022051706:00;eor
       1420;2022051706:22;    1;  121.0;   38.0;  102.0;  60;    70.56;2022051707:00;eor
       1420;2022051707:22;    1;  123.0;   67.0;  152.0;  60;    60.94;2022051708:00;eor
       1420;2022051708:22;    1;  127.0;   91.0;  186.0;  60;    51.47;2022051709:00;eor
       1420;2022051709:22;    1;  130.0;  111.0;  238.0;  60;    42.70;2022051710:00;eor
       1420;2022051710:22;    1;  130.0;   80.0;  290.0;  60;    35.50;2022051711:00;eor
       1420;2022051711:22;    1;  133.0;   89.0;  314.0;  60;    31.22;2022051712:00;eor
       1420;2022051712:22;    1;  144.0;   89.0;  181.0;  41;    31.22;2022051713:00;eor
       1420;2022051713:22;    1;  145.0;  109.0;  134.0;  11;    35.48;2022051714:00;eor
       1420;2022051714:22;    1;  141.0;  117.0;  223.0;  28;    42.66;2022051715:00;eor
       1420;2022051715:22;    1;  147.0;   69.0;   77.0;  19;    51.42;2022051716:00;eor
       1420;2022051716:22;    1;  141.0;   53.0;   54.0;   0;    60.88;2022051717:00;eor
       1420;2022051717:22;    1;  133.0;   42.0;   96.0;  39;    70.48;2022051718:00;eor
       1420;2022051718:22;    1;  131.0;   18.0;   40.0;  54;    79.86;2022051719:00;eor
       1420;2022051719:22;    1;  129.0;    4.0;    4.0;   0;    88.66;2022051720:00;eor
       1420;2022051720:22;    1;  130.0;    0.0;    0.0;   0;    96.51;2022051721:00;eor
       1420;2022051721:22;    1;  128.0;    0.0;    0.0;   0;   103.01;2022051722:00;eor
       1420;2022051722:22;    1;  129.0;    0.0;    0.0;   0;   107.70;2022051723:00;eor
       1420;2022051723:22;    1;  124.0;    0.0;    0.0;   0;   110.17;2022051800:00;eor
       1420;2022051900:22;    1;  126.0;    0.0;    0.0;   0;   109.94;2022051901:00;eor
       1420;2022051901:22;    1;  124.0;    0.0;    0.0;   0;   107.46;2022051902:00;eor
       1420;2022051902:22;    1;  123.0;    0.0;    0.0;   0;   102.77;2022051903:00;eor
       1420;2022051903:22;    1;  123.0;    0.0;    0.0;   0;    96.27;2022051904:00;eor
       1420;2022051904:22;    1;  121.0;    6.0;    6.0;   0;    88.42;2022051905:00;eor
